msd_name,facility_id,summary_id
(CVWRF) Central Valley WRF,13,10
(SBWRD_EC) Snyderville Basin East Canyon,27,19
(TWWTP) Tremonton WWTP,23,1
(HCWWTP) Hyrum City WWTP,21,4
(LCCWWTP) Logan City WWTP,22,3
(MWRF) Moab WRF,24,15
(SLCWRF) Salt Lake City WRF,14,9
(OWRF) Orem WRF,7,26
(TSSD) Timpanogos SSD,6,25
(PRWID) Price WID,25,14
(PCWRF) Provo City WRF,8,27
(SQWRF) Santaquin WRF,12,31
(PWWTP) Payson WWTP,11,30
(SFWWTP) Spanish Fork WWTP,10,29
(BCSD) Brigham City SD,20,2
(CDSD) Central Davis SD,17,6
(CWSD) Central Weber WSD,19,35
(NDSD) North Davis SD,18,5
(SDSD_N) South Davis SD - North,16,7
(SDSD_S) South Davis SD - South,15,8
(JBWRF) Jordan Basin WRF,4,13
(JBSVPP) Jordan Basin SVPP,5,12
(MAGWWTP) Magna WWTP,1,NA
(SBWRD_SC) Snyderville Basin Silver Creek,26,20
(TOOELEWRF) Tooele WRF,2,22
(AVWRF) Ashley Valley WRF,29,24
(HVSSD_M) Heber Valley SSD Midway,35,34
(ROOSCSD) Roosevelt City SD,30,23
(SVWWTP) Springville WWTP,9,28
(SVWRF) South Valley WRF,3,11
(SGWWTP) St George WWTP,33,18
(ACSSD) Ash Creek SSD,32,17
(CCRWWTF) Cedar City WWTF,31,16
(HVSSD_H) Heber Valley SSD Heber City,34,33
(CVWWTP) Coalville WWTP,28,21
(JSSDWRF) Jordanelle SSD WRF,36,32
